year,query,total_citations,avg_h_index,usage,captures,mentions,social_media,impact,first_year_citations,second_year_citations,max_h_index,flesch_reading_ease,flesch_kincaid_grade,gunning_fog_index,smog_index,automated_readability_index,coleman_liau_index,cohesion,syntax,vocabulary,phraseology,grammar,conventions
2022,internet of things and embedded systems,3,22,0,23,1,0,low,0,3,57,36.69,12.5,9.06,13.3,13.4,13.69,5.8289475,5.5921054,6.5921054,6.3289475,5.986842,5.4473686
2022,"distributed, parallel and cluster computing",16,32,0,9,0,0,low,2,8,49,53.81,10.1,9.21,12.5,9.9,9.22,5.611111,5.4814816,6.351852,6.1296296,5.7777777,5.111111
2019,cryptography and security,285,40,0,375,0,0,high,29,57,61,-18.23,33.6,32.11,25.3,39.6,14.7,3.6,3.6,4.6,4.2,3.9,3.25
2022,software engineering,5,31,0,7,0,0,low,0,3,32,27.96,15.9,13.34,16.6,17.5,13.81,5.9761906,5.714286,6.714286,6.571429,6.095238,5.428571
2018,"distributed, parallel and cluster computing",249,70,0,440,0,0,high,19,42,168,32.83,14.0,10.89,15.7,16.2,15.55,7.0454545,6.848485,7.757576,7.6363635,7.151515,6.4545455
2018,graphics,1010,57,0,1544,12,358,high,4,45,110,43.22,12.1,10.33,14.9,14.2,13.87,6.0833335,5.9166665,6.7777777,6.6944447,6.388889,5.6944447
2022,"distributed, parallel and cluster computing",0,12,0,8,0,0,low,0,0,19,54.22,9.9,8.53,12.6,11.0,11.13,6.6363635,6.409091,7.090909,7.0454545,6.681818,6.2272725
2022,machine learning,2,9,0,12,0,0,low,0,2,11,36.28,12.7,10.63,13.6,15.1,15.43,6.1136365,5.931818,6.818182,6.681818,6.25,5.5454545
2022,cryptography and security,1,26,0,3,0,0,low,0,1,55,29.48,15.3,13.91,16.5,18.2,16.13,7.5384617,7.3076925,8.307693,8.076923,7.6153846,7.076923
2019,cryptography and security,218,18,0,237,0,0,high,11,33,24,42.11,12.5,11.35,14.7,14.7,13.87,6.1666665,5.9583335,6.8333335,6.6666665,6.2916665,5.6666665
2022,computational complexity,66,40,0,163,0,0,low,11,34,42,23.9,17.4,15.89,18.1,20.4,15.85,7.296875,7.140625,8.234375,8.0625,7.40625,6.734375
2022,information retrieval,814,70,601,796,0,0,high,195,343,125,39.53,11.4,8.49,13.3,13.7,15.54,6.5,6.290323,7.2580647,7.032258,6.548387,5.870968
2022,information retrieval,3,8,0,10,0,0,low,0,2,13,47.69,10.4,10.66,12.8,12.1,13.39,7.6666665,7.1666665,8.166667,7.6666665,7.1666665,7.0
2017,cryptography and security,254,43,0,66,1,0,high,0,5,43,51.28,11.1,10.48,13.4,12.4,11.55,6.4375,6.2291665,7.1875,7.0,6.3958335,5.7291665
2017,data structures and algorithms,1866,27,0,1978,2,6,high,0,50,27,34.76,13.3,10.34,15.3,15.1,15.03,6.3333335,6.095238,7.047619,6.8333335,6.4761906,5.8333335
2017,machine learning,24367,43,0,15716,2,0,high,28,829,56,45.66,11.1,9.51,13.0,13.0,13.57,7.0333333,6.7,7.5666666,7.4,7.0,6.4333334
2019,"distributed, parallel and cluster computing",246,33,0,386,0,0,high,7,58,52,39.67,13.4,13.19,15.3,15.8,14.28,7.285714,7.071429,8.0,7.857143,7.5,6.714286
2022,computational complexity,5,16,0,5,0,0,low,0,4,28,31.72,14.4,12.55,15.9,16.3,15.15,6.8,6.6,7.4666667,7.266667,6.8,6.266667
2021,data structures and algorithms,1553,39,0,4673,3,0,high,57,323,39,38.01,12.0,9.04,13.8,13.3,14.5,6.135135,6.0405407,6.9864864,6.7702703,6.3513513,5.675676
2022,information retrieval,0,14,0,8,0,0,low,0,0,24,40.69,13.1,11.07,14.7,14.9,13.34,6.804348,6.5652175,7.478261,7.2391305,6.7608695,6.2173915
